sentence,clean_text,tokens,label
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",garbo who showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent work but netflix does not seem to be stocking them,"['garbo', 'who', 'show', 'right', 'off', 'the', 'bat', 'that', 'her', 'talent', 'could', 'carri', 'over', 'from', 'the', 'silent', 'era', 'i', 'want', 'to', 'see', 'some', 'of', 'her', 'silent', 'work', 'but', 'netflix', 'doe', 'not', 'seem', 'to', 'be', 'stock', 'them']",1
(very serious spoilers) this movie was a huge disappointment.  ,very serious spoilers this movie was a huge disappointment,"['veri', 'seriou', 'spoiler', 'thi', 'movi', 'wa', 'a', 'huge', 'disappoint']",0
You won't forget this movie!  ,you will not forget this movie,"['you', 'will', 'not', 'forget', 'thi', 'movi']",1
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",and considering the two of us left there very full and happy for about you just cannot go wrong,"['and', 'consid', 'the', 'two', 'of', 'us', 'left', 'there', 'veri', 'full', 'and', 'happi', 'for', 'about', 'you', 'just', 'cannot', 'go', 'wrong']",1
Save your money.... I've had this item for 11 months now.,save your money i have had this item for months now,"['save', 'your', 'money', 'i', 'have', 'had', 'thi', 'item', 'for', 'month', 'now']",0
I dressed up to be treated so rudely!,i dressed up to be treated so rudely,"['i', 'dress', 'up', 'to', 'be', 'treat', 'so', 'rude']",0
"I find wasting food to be despicable, but this just wasn't food.",i find wasting food to be despicable but this just wasn t food,"['i', 'find', 'wast', 'food', 'to', 'be', 'despic', 'but', 'thi', 'just', 'wasn', 't', 'food']",0
The lighting is awful.  ,the lighting is awful,"['the', 'light', 'is', 'aw']",0
Brilliant!  ,brilliant,['brilliant'],1
We literally sat there for 20 minutes with no one asking to take our order.,we literally sat there for minutes with no one asking to take our order,"['we', 'liter', 'sat', 'there', 'for', 'minut', 'with', 'no', 'one', 'ask', 'to', 'take', 'our', 'order']",0
The movie was very interesting from beginning to the end.  ,the movie was very interesting from beginning to the end,"['the', 'movi', 'wa', 'veri', 'interest', 'from', 'begin', 'to', 'the', 'end']",1
Bland and flavorless is a good way of describing the barely tepid meat.,bland and flavorless is a good way of describing the barely tepid meat,"['bland', 'and', 'flavorless', 'is', 'a', 'good', 'way', 'of', 'describ', 'the', 'bare', 'tepid', 'meat']",0
"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",the film deserves strong kudos for taking this stand for having exceptional acting from its mostly lesser known cast and for the super intelligent script that does not insult the audience or take the easy way out when it comes to white racism,"['the', 'film', 'deserv', 'strong', 'kudo', 'for', 'take', 'thi', 'stand', 'for', 'have', 'except', 'act', 'from', 'it', 'mostli', 'lesser', 'known', 'cast', 'and', 'for', 'the', 'super', 'intellig', 'script', 'that', 'doe', 'not', 'insult', 'the', 'audienc', 'or', 'take', 'the', 'easi', 'way', 'out', 'when', 'it', 'come', 'to', 'white', 'racism']",1
"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",the movie in movie situations in the beginning and through the game that is played with her by the acting coach are fascinating,"['the', 'movi', 'in', 'movi', 'situat', 'in', 'the', 'begin', 'and', 'through', 'the', 'game', 'that', 'is', 'play', 'with', 'her', 'by', 'the', 'act', 'coach', 'are', 'fascin']",1
Lately they have been extremely nice and helpful on the phone.,lately they have been extremely nice and helpful on the phone,"['late', 'they', 'have', 'been', 'extrem', 'nice', 'and', 'help', 'on', 'the', 'phone']",1
but the movie makes a lot of serious mistakes.  ,but the movie makes a lot of serious mistakes,"['but', 'the', 'movi', 'make', 'a', 'lot', 'of', 'seriou', 'mistak']",0
Mediocre food.,mediocre food,"['mediocr', 'food']",0
It kept getting worse and worse so now I'm officially done.,it kept getting worse and worse so now i am officially done,"['it', 'kept', 'get', 'wors', 'and', 'wors', 'so', 'now', 'i', 'am', 'offici', 'done']",0
"Not frightening in the least, and barely comprehensible.  ",not frightening in the least and barely comprehensible,"['not', 'frighten', 'in', 'the', 'least', 'and', 'bare', 'comprehens']",0
Don't do it!!!!,do not do it,"['do', 'not', 'do', 'it']",0
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,i recently had problems where i could not stay connected for more than minutes before being disconnected,"['i', 'recent', 'had', 'problem', 'where', 'i', 'could', 'not', 'stay', 'connect', 'for', 'more', 'than', 'minut', 'befor', 'be', 'disconnect']",0
It was horrendous.  ,it was horrendous,"['it', 'wa', 'horrend']",0
I love their fries and their beans.,i love their fries and their beans,"['i', 'love', 'their', 'fri', 'and', 'their', 'bean']",1
So flavorful and has just the perfect amount of heat.,so flavorful and has just the perfect amount of heat,"['so', 'flavor', 'and', 'ha', 'just', 'the', 'perfect', 'amount', 'of', 'heat']",1
"The meat was pretty dry, I had the sliced brisket and pulled pork.",the meat was pretty dry i had the sliced brisket and pulled pork,"['the', 'meat', 'wa', 'pretti', 'dri', 'i', 'had', 'the', 'slice', 'brisket', 'and', 'pull', 'pork']",0
This movie is great--especially if you enjoy visual arts.  ,this movie is great especially if you enjoy visual arts,"['thi', 'movi', 'is', 'great', 'especi', 'if', 'you', 'enjoy', 'visual', 'art']",1
I have tried these cables with my computer and my iPod and it works just fine.,i have tried these cables with my computer and my ipod and it works just fine,"['i', 'have', 'tri', 'these', 'cabl', 'with', 'my', 'comput', 'and', 'my', 'ipod', 'and', 'it', 'work', 'just', 'fine']",1
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",it is close to my house it is low key non fancy affordable prices good food,"['it', 'is', 'close', 'to', 'my', 'hous', 'it', 'is', 'low', 'key', 'non', 'fanci', 'afford', 'price', 'good', 'food']",1
Best tacos in town by far!!,best tacos in town by far,"['best', 'taco', 'in', 'town', 'by', 'far']",1
Not enough volume.,not enough volume,"['not', 'enough', 'volum']",0
This is hands down the best phone I've ever had.,this is hands down the best phone i have ever had,"['thi', 'is', 'hand', 'down', 'the', 'best', 'phone', 'i', 'have', 'ever', 'had']",1
I didn't know pulled pork could be soooo delicious.,i did not know pulled pork could be soooo delicious,"['i', 'did', 'not', 'know', 'pull', 'pork', 'could', 'be', 'soooo', 'delici']",1
A great film by a great director.  ,a great film by a great director,"['a', 'great', 'film', 'by', 'a', 'great', 'director']",1
It is worth the drive.,it is worth the drive,"['it', 'is', 'worth', 'the', 'drive']",1
Nice headphones for the price and they work great!,nice headphones for the price and they work great,"['nice', 'headphon', 'for', 'the', 'price', 'and', 'they', 'work', 'great']",1
$50 Down the drain.,down the drain,"['down', 'the', 'drain']",0
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,they have been around for years and carries the highest quality of anti glare screen protector that i have found to date,"['they', 'have', 'been', 'around', 'for', 'year', 'and', 'carri', 'the', 'highest', 'qualiti', 'of', 'anti', 'glare', 'screen', 'protector', 'that', 'i', 'have', 'found', 'to', 'date']",1
This place lacked style!!,this place lacked style,"['thi', 'place', 'lack', 'style']",0
Will go back next trip out.,will go back next trip out,"['will', 'go', 'back', 'next', 'trip', 'out']",1
The pizza selections are good.,the pizza selections are good,"['the', 'pizza', 'select', 'are', 'good']",1
Its not user friendly.,its not user friendly,"['it', 'not', 'user', 'friendli']",0
I had to go to a store and bought a new NOKIA phone which is working great.,i had to go to a store and bought a new nokia phone which is working great,"['i', 'had', 'to', 'go', 'to', 'a', 'store', 'and', 'bought', 'a', 'new', 'nokia', 'phone', 'which', 'is', 'work', 'great']",1
It just blew.  ,it just blew,"['it', 'just', 'blew']",0
"It was too predictable, even for a chick flick.  ",it was too predictable even for a chick flick,"['it', 'wa', 'too', 'predict', 'even', 'for', 'a', 'chick', 'flick']",0
All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  ,all this movie does is make you sick watching all these slackers make excuses for their stupid actions for minutes,"['all', 'thi', 'movi', 'doe', 'is', 'make', 'you', 'sick', 'watch', 'all', 'these', 'slacker', 'make', 'excus', 'for', 'their', 'stupid', 'action', 'for', 'minut']",0
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",that is a huge design flaw unless i am not using it correctly which i do not think is the case,"['that', 'is', 'a', 'huge', 'design', 'flaw', 'unless', 'i', 'am', 'not', 'use', 'it', 'correctli', 'which', 'i', 'do', 'not', 'think', 'is', 'the', 'case']",0
I never walked out of a movie faster.  ,i never walked out of a movie faster,"['i', 'never', 'walk', 'out', 'of', 'a', 'movi', 'faster']",0
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core,"['all', 'the', 'pretti', 'pictur', 'in', 'the', 'world', 'cannot', 'make', 'up', 'for', 'a', 'piec', 'of', 'work', 'that', 'is', 'flaw', 'at', 'the', 'core']",0
The Foreigner is not worth one second of your time.  ,the foreigner is not worth one second of your time,"['the', 'foreign', 'is', 'not', 'worth', 'one', 'second', 'of', 'your', 'time']",0
Any ring tone..Overall good phone to buy..,any ring tone overall good phone to buy,"['ani', 'ring', 'tone', 'overal', 'good', 'phone', 'to', 'buy']",1
Doesn't Work.,does not work,"['doe', 'not', 'work']",0
Judith Light is one of my favorite actresses and I think she does a superb job in this film!  ,judith light is one of my favorite actresses and i think she does a superb job in this film,"['judith', 'light', 'is', 'one', 'of', 'my', 'favorit', 'actress', 'and', 'i', 'think', 'she', 'doe', 'a', 'superb', 'job', 'in', 'thi', 'film']",1
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,it was a huge awkward 5lb piece of cow that was 4ths gristle and fat,"['it', 'wa', 'a', 'huge', 'awkward', 'lb', 'piec', 'of', 'cow', 'that', 'wa', 'th', 'gristl', 'and', 'fat']",0
"Predictable, but not a bad watch.  ",predictable but not a bad watch,"['predict', 'but', 'not', 'a', 'bad', 'watch']",1
Plug was the wrong size.,plug was the wrong size,"['plug', 'wa', 'the', 'wrong', 'size']",0
"Then our food came out, disappointment ensued.",then our food came out disappointment ensued,"['then', 'our', 'food', 'came', 'out', 'disappoint', 'ensu']",0
Great bluetooth!.,great bluetooth,"['great', 'bluetooth']",1
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,i have lived here since and this was the first and last time i have stepped foot into this place,"['i', 'have', 'live', 'here', 'sinc', 'and', 'thi', 'wa', 'the', 'first', 'and', 'last', 'time', 'i', 'have', 'step', 'foot', 'into', 'thi', 'place']",0
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,it actually turned out to be pretty decent as far as b list horror suspense films go,"['it', 'actual', 'turn', 'out', 'to', 'be', 'pretti', 'decent', 'as', 'far', 'as', 'b', 'list', 'horror', 'suspens', 'film', 'go']",1
Comfort for our whole family.,comfort for our whole family,"['comfort', 'for', 'our', 'whole', 'famili']",1
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,manna from heaven is a terrific film that is both predictable and unpredictable at the same time,"['manna', 'from', 'heaven', 'is', 'a', 'terrif', 'film', 'that', 'is', 'both', 'predict', 'and', 'unpredict', 'at', 'the', 'same', 'time']",1
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity,"['the', 'eargel', 'channel', 'the', 'sound', 'directli', 'into', 'your', 'ear', 'and', 'seem', 'to', 'increas', 'the', 'sound', 'volum', 'and', 'clariti']",1
"not even a ""hello, we will be right with you.""",not even a hello we will be right with you,"['not', 'even', 'a', 'hello', 'we', 'will', 'be', 'right', 'with', 'you']",0
These were so good we ordered them twice.,these were so good we ordered them twice,"['these', 'were', 'so', 'good', 'we', 'order', 'them', 'twice']",1
It's A PIECE OF CRAP!,it is a piece of crap,"['it', 'is', 'a', 'piec', 'of', 'crap']",0
Star Trek V The final Frontier is the worst in the series.  ,star trek v the final frontier is the worst in the series,"['star', 'trek', 'v', 'the', 'final', 'frontier', 'is', 'the', 'worst', 'in', 'the', 'seri']",0
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,treo and t mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount,"['treo', 'and', 't', 'mobil', 'refus', 'to', 'replac', 'it', 'again', 'and', 'forc', 'me', 'to', 'buy', 'anoth', 'phone', 'without', 'ani', 'kind', 'of', 'upgrad', 'discount']",0
The cashew cream sauce was bland and the vegetables were undercooked.,the cashew cream sauce was bland and the vegetables were undercooked,"['the', 'cashew', 'cream', 'sauc', 'wa', 'bland', 'and', 'the', 'veget', 'were', 'undercook']",0
Arrived quickly and much less expensive than others being sold.,arrived quickly and much less expensive than others being sold,"['arriv', 'quickli', 'and', 'much', 'less', 'expens', 'than', 'other', 'be', 'sold']",1
"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  ",i really loved the story line and the poler bear was kinda cute but if anyone has a question about fort steele just ask away,"['i', 'realli', 'love', 'the', 'stori', 'line', 'and', 'the', 'poler', 'bear', 'wa', 'kinda', 'cute', 'but', 'if', 'anyon', 'ha', 'a', 'question', 'about', 'fort', 'steel', 'just', 'ask', 'away']",1
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,"['the', 'salad', 'had', 'just', 'the', 'right', 'amount', 'of', 'sauc', 'to', 'not', 'over', 'power', 'the', 'scallop', 'which', 'wa', 'perfectli', 'cook']",1
The aerial scenes were well-done.  ,the aerial scenes were well done,"['the', 'aerial', 'scene', 'were', 'well', 'done']",1
This is such a fun and funny movie.  ,this is such a fun and funny movie,"['thi', 'is', 'such', 'a', 'fun', 'and', 'funni', 'movi']",1
Nothing short of magnificent photography/cinematography in this film.  ,nothing short of magnificent photography cinematography in this film,"['noth', 'short', 'of', 'magnific', 'photographi', 'cinematographi', 'in', 'thi', 'film']",1
I'm a bit disappointed.,i am a bit disappointed,"['i', 'am', 'a', 'bit', 'disappoint']",0
If you are reading this please don't go there.,if you are reading this please do not go there,"['if', 'you', 'are', 'read', 'thi', 'pleas', 'do', 'not', 'go', 'there']",0
"This movie was kind of long in length, but I enjoyed every minute of it.  ",this movie was kind of long in length but i enjoyed every minute of it,"['thi', 'movi', 'wa', 'kind', 'of', 'long', 'in', 'length', 'but', 'i', 'enjoy', 'everi', 'minut', 'of', 'it']",1
Just as good as when I had it more than a year ago!,just as good as when i had it more than a year ago,"['just', 'as', 'good', 'as', 'when', 'i', 'had', 'it', 'more', 'than', 'a', 'year', 'ago']",1
"In summary, this was a largely disappointing dining experience.",in summary this was a largely disappointing dining experience,"['in', 'summari', 'thi', 'wa', 'a', 'larg', 'disappoint', 'dine', 'experi']",0
Today is the second time I've been to their lunch buffet and it was pretty good.,today is the second time i have been to their lunch buffet and it was pretty good,"['today', 'is', 'the', 'second', 'time', 'i', 'have', 'been', 'to', 'their', 'lunch', 'buffet', 'and', 'it', 'wa', 'pretti', 'good']",1
I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  ,i have to say that this film was excellently produced and tops the ratings as a typical sci fi film,"['i', 'have', 'to', 'say', 'that', 'thi', 'film', 'wa', 'excel', 'produc', 'and', 'top', 'the', 'rate', 'as', 'a', 'typic', 'sci', 'fi', 'film']",1
We enjoy their pizza and brunch.,we enjoy their pizza and brunch,"['we', 'enjoy', 'their', 'pizza', 'and', 'brunch']",1
Vivian Schilling did an excellent job with the script.  ,vivian schilling did an excellent job with the script,"['vivian', 'schill', 'did', 'an', 'excel', 'job', 'with', 'the', 'script']",1
Very very fun chef.,very very fun chef,"['veri', 'veri', 'fun', 'chef']",1
"You get incredibly fresh fish, prepared with care.",you get incredibly fresh fish prepared with care,"['you', 'get', 'incred', 'fresh', 'fish', 'prepar', 'with', 'care']",1
Pretty cool I would say.,pretty cool i would say,"['pretti', 'cool', 'i', 'would', 'say']",1
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",the servers went back and forth several times not even so much as an are you being helped,"['the', 'server', 'went', 'back', 'and', 'forth', 'sever', 'time', 'not', 'even', 'so', 'much', 'as', 'an', 'are', 'you', 'be', 'help']",0
"As for the killer, don't expect anything original or even remotely frightening.  ",as for the killer do not expect anything original or even remotely frightening,"['as', 'for', 'the', 'killer', 'do', 'not', 'expect', 'anyth', 'origin', 'or', 'even', 'remot', 'frighten']",0
This item is fantastic and works perfectly!,this item is fantastic and works perfectly,"['thi', 'item', 'is', 'fantast', 'and', 'work', 'perfectli']",1
AFter the first charge kept going dead after 12 minutes.,after the first charge kept going dead after minutes,"['after', 'the', 'first', 'charg', 'kept', 'go', 'dead', 'after', 'minut']",0
Everything was fresh and delicious!,everything was fresh and delicious,"['everyth', 'wa', 'fresh', 'and', 'delici']",1
It failed to convey the broad sweep of landscapes that were a great part of the original.  ,it failed to convey the broad sweep of landscapes that were a great part of the original,"['it', 'fail', 'to', 'convey', 'the', 'broad', 'sweep', 'of', 'landscap', 'that', 'were', 'a', 'great', 'part', 'of', 'the', 'origin']",0
This is a beautiful phone.,this is a beautiful phone,"['thi', 'is', 'a', 'beauti', 'phone']",1
Extremely Tasty!,extremely tasty,"['extrem', 'tasti']",1
Reception is terrible and full of static.,reception is terrible and full of static,"['recept', 'is', 'terribl', 'and', 'full', 'of', 'static']",0
"Third, the cheese on my friend's burger was cold.",third the cheese on my friend s burger was cold,"['third', 'the', 'chees', 'on', 'my', 'friend', 's', 'burger', 'wa', 'cold']",0
"Because both ears are occupied, background is not distracting at all.",because both ears are occupied background is not distracting at all,"['becaus', 'both', 'ear', 'are', 'occupi', 'background', 'is', 'not', 'distract', 'at', 'all']",1
Which are small and not worth the price.,which are small and not worth the price,"['which', 'are', 'small', 'and', 'not', 'worth', 'the', 'price']",0
"The mic there is a joke, and the volume is quite low.",the mic there is a joke and the volume is quite low,"['the', 'mic', 'there', 'is', 'a', 'joke', 'and', 'the', 'volum', 'is', 'quit', 'low']",0
"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",im big fan of rpg games too but this movie its a disgrace to any self respecting rpger there is,"['im', 'big', 'fan', 'of', 'rpg', 'game', 'too', 'but', 'thi', 'movi', 'it', 'a', 'disgrac', 'to', 'ani', 'self', 'respect', 'rpger', 'there', 'is']",0
TOTAL WASTE OF TIME.,total waste of time,"['total', 'wast', 'of', 'time']",0
If you are Razr owner...you must have this!,if you are razr owner you must have this,"['if', 'you', 'are', 'razr', 'owner', 'you', 'must', 'have', 'thi']",1
"If you like a loud buzzing to override all your conversations, then this phone is for you!",if you like a loud buzzing to override all your conversations then this phone is for you,"['if', 'you', 'like', 'a', 'loud', 'buzz', 'to', 'overrid', 'all', 'your', 'convers', 'then', 'thi', 'phone', 'is', 'for', 'you']",0
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",they do not last forever but is not overly expensive to replace easy to operate and the sound is much better than others i have tried,"['they', 'do', 'not', 'last', 'forev', 'but', 'is', 'not', 'overli', 'expens', 'to', 'replac', 'easi', 'to', 'oper', 'and', 'the', 'sound', 'is', 'much', 'better', 'than', 'other', 'i', 'have', 'tri']",1
"You'll love it!  	1
This movie is BAD.  	0
So bad.  	0
The film is way too long.  	0
This is definitely one of the bad ones.  	0
The movie I received was a great quality film for it's age.  	1
John Wayne did an incredible job for being so young in the movie industry.  	1
His on screen presence shined thought even though there were other senior actors on the screen with him.  	1
I think that it is a must see older John Wayne film.  	1
I really don't see how anyone could enjoy this movie.  	0
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  	0
It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	0
Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	0
Jamie Foxx absolutely IS Ray Charles.  	1
His performance is simply genius.  	1
He owns the film, just as Spacek owned Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",you will love it this movie is bad so bad the film is way too long this is definitely one of the bad ones the movie i received was a great quality film for it is age john wayne did an incredible job for being so young in the movie industry his on screen presence shined thought even though there were other senior actors on the screen with him i think that it is a must see older john wayne film i really do not see how anyone could enjoy this movie i do not think i have ever seen a movie half as boring as this self indulgent piece of junk it probably would have been better if the director had not spent most of the movie showcasing his own art work which really is not that noteworthy another thing i did not really like is when a character got punched in the face a gallon of blood would spew forth soon after jamie foxx absolutely is ray charles his performance is simply genius he owns the film just as spacek owned coal miner s daughter and quaid owned great balls of fire,"['you', 'will', 'love', 'it', 'thi', 'movi', 'is', 'bad', 'so', 'bad', 'the', 'film', 'is', 'way', 'too', 'long', 'thi', 'is', 'definit', 'one', 'of', 'the', 'bad', 'one', 'the', 'movi', 'i', 'receiv', 'wa', 'a', 'great', 'qualiti', 'film', 'for', 'it', 'is', 'age', 'john', 'wayn', 'did', 'an', 'incred', 'job', 'for', 'be', 'so', 'young', 'in', 'the', 'movi', 'industri', 'hi', 'on', 'screen', 'presenc', 'shine', 'thought', 'even', 'though', 'there', 'were', 'other', 'senior', 'actor', 'on', 'the', 'screen', 'with', 'him', 'i', 'think', 'that', 'it', 'is', 'a', 'must', 'see', 'older', 'john', 'wayn', 'film', 'i', 'realli', 'do', 'not', 'see', 'how', 'anyon', 'could', 'enjoy', 'thi', 'movi', 'i', 'do', 'not', 'think', 'i', 'have', 'ever', 'seen', 'a', 'movi', 'half', 'as', 'bore', 'as', 'thi', 'self', 'indulg', 'piec', 'of', 'junk', 'it', 'probabl', 'would', 'have', 'been', 'better', 'if', 'the', 'director', 'had', 'not', 'spent', 'most', 'of', 'the', 'movi', 'showcas', 'hi', 'own', 'art', 'work', 'which', 'realli', 'is', 'not', 'that', 'noteworthi', 'anoth', 'thing', 'i', 'did', 'not', 'realli', 'like', 'is', 'when', 'a', 'charact', 'got', 'punch', 'in', 'the', 'face', 'a', 'gallon', 'of', 'blood', 'would', 'spew', 'forth', 'soon', 'after', 'jami', 'foxx', 'absolut', 'is', 'ray', 'charl', 'hi', 'perform', 'is', 'simpli', 'geniu', 'he', 'own', 'the', 'film', 'just', 'as', 'spacek', 'own', 'coal', 'miner', 's', 'daughter', 'and', 'quaid', 'own', 'great', 'ball', 'of', 'fire']",1
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,"['for', 'a', 'product', 'that', 'cost', 'as', 'much', 'as', 'thi', 'one', 'doe', 'i', 'expect', 'it', 'to', 'work', 'far', 'better', 'and', 'with', 'greater', 'eas', 'than', 'thi', 'thing', 'doe']",0
"Not to mention the combination of pears, almonds and bacon is a big winner!",not to mention the combination of pears almonds and bacon is a big winner,"['not', 'to', 'mention', 'the', 'combin', 'of', 'pear', 'almond', 'and', 'bacon', 'is', 'a', 'big', 'winner']",1
"Excellent sound, battery life and inconspicuous to boot!.",excellent sound battery life and inconspicuous to boot,"['excel', 'sound', 'batteri', 'life', 'and', 'inconspicu', 'to', 'boot']",1
I have read other's reviews here but I haven't had any problem with it.,i have read other s reviews here but i have not had any problem with it,"['i', 'have', 'read', 'other', 's', 'review', 'here', 'but', 'i', 'have', 'not', 'had', 'ani', 'problem', 'with', 'it']",1
They really want to make your experience a good one.,they really want to make your experience a good one,"['they', 'realli', 'want', 'to', 'make', 'your', 'experi', 'a', 'good', 'one']",1
disappointing.,disappointing,['disappoint'],0
You never know if you pushed it hard enough or the right number of times for the function you want or not.,you never know if you pushed it hard enough or the right number of times for the function you want or not,"['you', 'never', 'know', 'if', 'you', 'push', 'it', 'hard', 'enough', 'or', 'the', 'right', 'number', 'of', 'time', 'for', 'the', 'function', 'you', 'want', 'or', 'not']",0
Go To Place for Gyros.,go to place for gyros,"['go', 'to', 'place', 'for', 'gyro']",1
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films,"['thi', 'movi', 'now', 'join', 'reveng', 'of', 'the', 'boogeyman', 'and', 'zombiez', 'as', 'part', 'of', 'the', 'hellish', 'triniti', 'of', 'horror', 'film']",0
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,"['the', 'pan', 'cake', 'everyon', 'are', 'rave', 'about', 'tast', 'like', 'a', 'sugari', 'disast', 'tailor', 'to', 'the', 'palat', 'of', 'a', 'six', 'year', 'old']",0
The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,the attempts at humor were pitiful and story is so awful it dosen t bear thinking about which basically involves a vulcan stealing the enterprise to find god seriously i just did not care about any of this film and oh not to mention uhura does a belly dance to distract male guards,"['the', 'attempt', 'at', 'humor', 'were', 'piti', 'and', 'stori', 'is', 'so', 'aw', 'it', 'dosen', 't', 'bear', 'think', 'about', 'which', 'basic', 'involv', 'a', 'vulcan', 'steal', 'the', 'enterpris', 'to', 'find', 'god', 'serious', 'i', 'just', 'did', 'not', 'care', 'about', 'ani', 'of', 'thi', 'film', 'and', 'oh', 'not', 'to', 'mention', 'uhura', 'doe', 'a', 'belli', 'danc', 'to', 'distract', 'male', 'guard']",0
And then tragedy struck.,and then tragedy struck,"['and', 'then', 'tragedi', 'struck']",0
New Battery works great in phone.,new battery works great in phone,"['new', 'batteri', 'work', 'great', 'in', 'phone']",1
Great food.,great food,"['great', 'food']",1
"It is well made, easy to access the phone and has a handy, detachable belt clip.",it is well made easy to access the phone and has a handy detachable belt clip,"['it', 'is', 'well', 'made', 'easi', 'to', 'access', 'the', 'phone', 'and', 'ha', 'a', 'handi', 'detach', 'belt', 'clip']",1
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,we made the drive all the way from north scottsdale and i was not one bit disappointed,"['we', 'made', 'the', 'drive', 'all', 'the', 'way', 'from', 'north', 'scottsdal', 'and', 'i', 'wa', 'not', 'one', 'bit', 'disappoint']",1
The Wind and the Lion is well written and superbly acted.  ,the wind and the lion is well written and superbly acted,"['the', 'wind', 'and', 'the', 'lion', 'is', 'well', 'written', 'and', 'superbl', 'act']",1
"Looks great and is strong.""",looks great and is strong,"['look', 'great', 'and', 'is', 'strong']",1
"Each track commands sentiment, actually contributing to the scenes and characters.  ",each track commands sentiment actually contributing to the scenes and characters,"['each', 'track', 'command', 'sentiment', 'actual', 'contribut', 'to', 'the', 'scene', 'and', 'charact']",1
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",by this point my friends and i had basically figured out this place was a joke and did not mind making it publicly and loudly known,"['by', 'thi', 'point', 'my', 'friend', 'and', 'i', 'had', 'basic', 'figur', 'out', 'thi', 'place', 'wa', 'a', 'joke', 'and', 'did', 'not', 'mind', 'make', 'it', 'publicli', 'and', 'loudli', 'known']",0
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",it quit working after i would used it for about months so i just purchased another one because this is the best headset i have ever owned,"['it', 'quit', 'work', 'after', 'i', 'would', 'use', 'it', 'for', 'about', 'month', 'so', 'i', 'just', 'purchas', 'anoth', 'one', 'becaus', 'thi', 'is', 'the', 'best', 'headset', 'i', 'have', 'ever', 'own']",1
"As an earlier review noted, plug in this charger and nothing happens.",as an earlier review noted plug in this charger and nothing happens,"['as', 'an', 'earlier', 'review', 'note', 'plug', 'in', 'thi', 'charger', 'and', 'noth', 'happen']",0
I can't tell you how disappointed I was.,i cannot tell you how disappointed i was,"['i', 'cannot', 'tell', 'you', 'how', 'disappoint', 'i', 'wa']",0
"After watching this film, I wanted to learn more about the works of this artist.  ",after watching this film i wanted to learn more about the works of this artist,"['after', 'watch', 'thi', 'film', 'i', 'want', 'to', 'learn', 'more', 'about', 'the', 'work', 'of', 'thi', 'artist']",1
